day,month,year,"country_id",hijrah_day,hijrah_month,hijrah_year
8,10,2016,"SG",7,1,1439
8,10,2017,"SG",17,1,1439
8,11,2012,"SG",23,12,1433
8,11,2013,"SG",4,1,1435
8,11,2014,"SG",15,1,1436
8,11,2015,"SG",26,1,1437
8,11,2016,"SG",8,2,1439
8,11,2017,"SG",19,2,1439
8,12,2012,"SG",24,1,1434
8,12,2013,"SG",5,2,1435
8,12,2014,"SG",15,2,1436
8,12,2015,"SG",26,2,1437
8,12,2016,"SG",8,3,1439
8,12,2017,"SG",19,3,1439
8,13,2012,"SG",24,1,1434
9,1,2012,"SG",15,2,1433
9,1,2013,"SG",25,2,1434
9,1,2014,"SG",7,3,1435
9,1,2015,"SG",18,3,1436
9,1,2016,"SG",28,3,1438
9,1,2017,"SG",10,4,1438
9,2,2012,"SG",16,3,1433
9,2,2013,"SG",27,3,1434
9,2,2014,"SG",8,4,1435
9,2,2015,"SG",19,4,1436
9,2,2016,"SG",30,4,1438
9,2,2017,"SG",12,5,1438
9,3,2012,"SG",16,4,1433
9,3,2013,"SG",26,4,1434
9,3,2014,"SG",7,5,1435
9,3,2015,"SG",18,5,1436
9,3,2016,"SG",29,5,1438
9,3,2017,"SG",10,6,1438
9,4,2012,"SG",17,5,1433
9,4,2013,"SG",28,5,1434
9,4,2014,"SG",8,6,1435
9,4,2015,"SG",19,6,1436
9,4,2016,"SG",1,7,1438
9,4,2017,"SG",12,7,1438
9,5,2012,"SG",17,6,1433
9,5,2013,"SG",28,6,1434
9,5,2014,"SG",8,7,1435
9,5,2015,"SG",20,7,1436
9,5,2016,"SG",2,8,1438
9,5,2017,"SG",12,8,1438
9,6,2012,"SG",19,7,1433
9,6,2013,"SG",30,7,1434
9,6,2014,"SG",10,8,1435
9,6,2015,"SG",22,8,1436
9,6,2016,"SG",4,9,1438
9,6,2017,"SG",14,9,1438
9,7,2012,"SG",19,8,1433
9,7,2013,"SG",30,8,1434
9,7,2014,"SG",11,9,1435
9,7,2015,"SG",22,9,1436
9,7,2016,"SG",4,10,1438
9,7,2017,"SG",15,10,1438
9,8,2012,"SG",19,9,1433
9,8,2013,"SG",2,10,1434
9,8,2014,"SG",13,10,1435
9,8,2015,"SG",24,10,1436
9,8,2016,"SG",6,11,1438
9,8,2017,"SG",16,11,1438
9,9,2012,"SG",22,10,1433
9,9,2013,"SG",3,11,1434
9,9,2014,"SG",14,11,1435
9,9,2015,"SG",25,11,1436
9,9,2016,"SG",7,12,1438
9,9,2017,"SG",18,12,1438
9,10,2012,"SG",22,11,1433
9,10,2013,"SG",4,12,1434
9,10,2014,"SG",14,12,1435
9,10,2015,"SG",25,12,1436
9,10,2016,"SG",8,1,1439
9,10,2017,"SG",18,1,1439
9,11,2012,"SG",24,12,1433
9,11,2013,"SG",5,1,1435
9,11,2014,"SG",16,1,1436
9,11,2015,"SG",27,1,1437
9,11,2016,"SG",9,2,1439
9,11,2017,"SG",20,2,1439
9,12,2012,"SG",25,1,1434
9,12,2013,"SG",6,2,1435
9,12,2014,"SG",16,2,1436
9,12,2015,"SG",27,2,1437
9,12,2016,"SG",9,3,1439
9,12,2017,"SG",20,3,1439
9,13,2012,"SG",25,1,1434
10,1,2012,"SG",16,2,1433
10,1,2013,"SG",26,2,1434
10,1,2014,"SG",8,3,1435
10,1,2015,"SG",19,3,1436
10,1,2016,"SG",29,3,1438
10,1,2017,"SG",11,4,1438
10,2,2012,"SG",17,3,1433
10,2,2013,"SG",28,3,1434
10,2,2014,"SG",9,4,1435
10,2,2015,"SG",20,4,1436
10,2,2016,"SG",1,5,1438
10,2,2017,"SG",13,5,1438
10,3,2012,"SG",17,4,1433
10,3,2013,"SG",27,4,1434
10,3,2014,"SG",8,5,1435
10,3,2015,"SG",19,5,1436
10,3,2016,"SG",1,6,1438
10,3,2017,"SG",11,6,1438
10,4,2012,"SG",18,5,1433
10,4,2013,"SG",29,5,1434
10,4,2014,"SG",9,6,1435
10,4,2015,"SG",20,6,1436
10,4,2016,"SG",2,7,1438
10,4,2017,"SG",13,7,1438
10,5,2012,"SG",18,6,1433
10,5,2013,"SG",29,6,1434
10,5,2014,"SG",9,7,1435
10,5,2015,"SG",21,7,1436
10,5,2016,"SG",3,8,1438
10,5,2017,"SG",13,8,1438
10,6,2012,"SG",20,7,1433
10,6,2013,"SG",1,8,1434
10,6,2014,"SG",11,8,1435
10,6,2015,"SG",23,8,1436
10,6,2016,"SG",5,9,1438
10,6,2017,"SG",15,9,1438
10,7,2012,"SG",20,8,1433
10,7,2013,"SG",1,9,1434
10,7,2014,"SG",12,9,1435
10,7,2015,"SG",23,9,1436
10,7,2016,"SG",5,10,1438
10,7,2017,"SG",16,10,1438
10,8,2012,"SG",20,9,1433
10,8,2013,"SG",3,10,1434
10,8,2014,"SG",14,10,1435
10,8,2015,"SG",25,10,1436
10,8,2016,"SG",7,11,1438
10,8,2017,"SG",17,11,1438
10,9,2012,"SG",23,10,1433
10,9,2013,"SG",4,11,1434
10,9,2014,"SG",15,11,1435
10,9,2015,"SG",26,11,1436
10,9,2016,"SG",8,12,1438
10,9,2017,"SG",19,12,1438
10,10,2012,"SG",23,11,1433
10,10,2013,"SG",5,12,1434
10,10,2014,"SG",15,12,1435
10,10,2015,"SG",26,12,1436
10,10,2016,"SG",9,1,1439
10,10,2017,"SG",19,1,1439
10,11,2012,"SG",25,12,1433
10,11,2013,"SG",6,1,1435
10,11,2014,"SG",17,1,1436
10,11,2015,"SG",28,1,1437
10,11,2016,"SG",10,2,1439
10,11,2017,"SG",21,2,1439
10,12,2012,"SG",26,1,1434
10,12,2013,"SG",7,2,1435
10,12,2014,"SG",17,2,1436
10,12,2015,"SG",28,2,1437
10,12,2016,"SG",10,3,1439
10,12,2017,"SG",21,3,1439
10,13,2012,"SG",26,1,1434
11,1,2012,"SG",17,2,1433
11,1,2013,"SG",27,2,1434
11,1,2014,"SG",9,3,1435
11,1,2015,"SG",20,3,1436
11,1,2016,"SG",1,4,1438
11,1,2017,"SG",12,4,1438
11,2,2012,"SG",18,3,1433
11,2,2013,"SG",29,3,1434
11,2,2014,"SG",10,4,1435
11,2,2015,"SG",21,4,1436
11,2,2016,"SG",2,5,1438
11,2,2017,"SG",14,5,1438
11,3,2012,"SG",18,4,1433
11,3,2013,"SG",28,4,1434
11,3,2014,"SG",9,5,1435
11,3,2015,"SG",20,5,1436
11,3,2016,"SG",2,6,1438
11,3,2017,"SG",12,6,1438
11,4,2012,"SG",19,5,1433
11,4,2013,"SG",30,5,1434
11,4,2014,"SG",10,6,1435
11,4,2015,"SG",21,6,1436
11,4,2016,"SG",3,7,1438
11,4,2017,"SG",14,7,1438
11,5,2012,"SG",19,6,1433
11,5,2013,"SG",1,7,1434
11,5,2014,"SG",10,7,1435
11,5,2015,"SG",22,7,1436
11,5,2016,"SG",4,8,1438
